question_id,topic,difficulty,is_active,question_text,reference_law,reference_book,feedback,image,total_options,correct_option_indexes,option_1_text,option_1_is_correct,option_2_text,option_2_is_correct,option_3_text,option_3_is_correct,option_4_text,option_4_is_correct,option_5_text,option_5_is_correct,option_6_text,option_6_is_correct
113,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Hacia donde es mas importante que usted mire en este momento?,Conducción responsable,,,questions/p-113.png,4,3,A,no,B,no,CC,si,D,no,,,,
114,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"En esta situación, ¿a cuáles 3 riesgos debe estar usted principalmente atento?",Prioridad en cruces,,,questions/p-114.png,5,"1, 3, 4",al ciclista que viene en sentido contrario.,si,Al tránsito en la intersección que hay mas adelante.,no,A las puertas de los autos que pueden ser abiertas.,si,A niños que pueden salir a la calzada por entre los autos.,si,A los vehículos que pueden venir detrás suyo.,no,,
115,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted va conduciendo a 70 km/h que es la velocidad máxima permitida en esta vía. ¿Que hace en esta situación? Marque la(S) correctas.,Velocidad legal y segura,,,questions/p-115.png,4,"1, 2",Está preparado para actuar ya que alguien puede salir corriendo a la cazada.,si,Esta preparado para actuar ya que el bus puede ponerse en marcha.,si,"Frena y cede el paso al bus, si este esta por salir de la posición",no,"Sigue conduciendo sin estar preparado para nada en especial, ya que usted tiene dominio de su vehículo.",no,,,,
116,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Que hace usted en esta situación?,Uso general de luces,,,questions/p-116.png,4,4,Hace señales a los peatones para que se alejen de la calzada.,no,Reduce su velocidad y continúa conduciendo.,no,Hace señales de luces al vehículo que viene en contra para que espere a que usted haya pasado,no,"Espera y deja pasar primero al vehículo que viene en contra, y luego usted continúa y pasa a los peatones.",si,,,,
117,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Mientras  va conduciendo su vehículo usted siente que lo esta llamando a su teléfono celular, ¿que hace usted para responder?",Distracción por celular,,"Si recibes una llamada mientras conduces, lo único seguro y legal que debes hacer es:
No responder mientras el vehículo esté en movimiento.
Buscar un lugar seguro y permitido para detenerte o estacionarte.
Una vez detenido, responder la llamada.
Incluso si usas un sistema de ""manos libres"", la distracción cognitiva (mental) sigue siendo alta y reduce tu capacidad de reacción ante imprevistos.

¿Sabías que la Ley No Chat prohíbe manipular dispositivos móviles incluso cuando el vehículo está detenido en un semáforo en rojo? ",,4,2,Reduce la velocidad.,no,Espera hasta encontrar un lugar seguro donde detenerse.,si,Conduce con una mano al volante.,no,es especialmente cauteloso en las intersecciones.,no,,,,
118,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted debería utilizar su teléfono celular en su automóvil solo en la siguiente situación:,Distracción por celular,,"Si recibes una llamada mientras conduces, lo único seguro y legal que debes hacer es:
No responder mientras el vehículo esté en movimiento.
Buscar un lugar seguro y permitido para detenerte o estacionarte.
Una vez detenido, responder la llamada.
Incluso si usas un sistema de ""manos libres"", la distracción cognitiva (mental) sigue siendo alta y reduce tu capacidad de reacción ante imprevistos.

¿Sabías que la Ley No Chat prohíbe manipular dispositivos móviles incluso cuando el vehículo está detenido en un semáforo en rojo? ",,4,3,Si su vehículo tiene cambio automático.,no,si necesita efectuar una llamada de emergencia.,no,Cuando se encuentra detenido en un lugar seguro.,si,Al circular por un camino secundario.,no,,,,
119,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,En un camino muy transitado usted desea adelantar a un camión con remolque que va lentamente delante suyo. ¿Que debería hacer usted?,Sobrepaso de camiones,,"En esa situación, lo más importante es la prudencia debido a las dimensiones del vehículo. Lo que usted debe hacer es:

Mantener una distancia mayor: Al alejarse un poco del camión, usted tendrá un mejor ángulo de visión para ver si viene alguien en sentido contrario.

Esperar un espacio amplio: Recuerde que adelantar a un vehículo con remolque toma más tiempo y distancia que a un automóvil normal.

Verificar que tenga espacio adelante: Asegúrese de que, tras adelantar, hay suficiente espacio para volver a su pista sin obligar al camión a frenar bruscamente.

Señalizar con anticipación: Indique su maniobra claramente para que tanto el camionero como los conductores de atrás comprendan su intención.",,4,1,Mantenerse bien atrás del camión hasta ver que tiene espacio suficiente como para adelantarlo.,si,Esperar atrás del camión hasta que su conductor le indique que puede adelantarlo.,no,Encender y apagar las luces para que quienes vienen en contra le faciliten en adelantamiento.,no,seguir muy de cerca al camión desplazándose permanentemente hacia el centro de la calzada para poder ver hacia delante.,no,,,,
120,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,La mayor parte de los accidentes de tránsito se producen en :,Actuación en accidentes,,"La mayor parte de los accidentes de tránsito se producen en vías o zonas urbanas (especialmente en intersecciones o cruces).Sin embargo, es muy importante recordar este dato para el examen: aunque la mayoría de los accidentes ocurren en ciudades, la mayor parte de los fallecidos se registra en accidentes ocurridos en vías rurales o carreteras, debido a las altas velocidades",,4,4,Carreteras,no,Salidas de colegios,no,Caminos rurales,no,Intersecciones,si,,,,
121,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Entre los accidentes de transito se distinguen distintos tipos de estos. En Chile, ¿cuál es el tipo de accidente que origina la mayor cantidad de muertos?",Actuación en accidentes,,"En Chile, el tipo de accidente que origina la mayor cantidad de muertes es la colisión, representando aproximadamente el 36% del total de víctimas fatales según las estadísticas de 2024.Es importante diferenciar entre la frecuencia de los accidentes y su mortalidad para tu examen:
Mayor cantidad de accidentes: La colisión es también el siniestro más frecuente (ocurre principalmente en zonas urbanas).
Mayor mortalidad relativa: Aunque representan un porcentaje menor del total de accidentes (aprox. 15%), los atropellos son extremadamente peligrosos, siendo responsables de cerca del 40% de los fallecidos en años anteriores.
Zona de mayor mortalidad: La mayoría de las muertes ocurren en zonas no urbanas (carreteras y caminos) debido a las mayores velocidades de impacto.
",,4,3,Los choques contra obstáculos fijos.,no,Las colisiones entre dos o mas vehículos.,no,Los atropellos.,si,Los volcamientos.,no,,,,
122,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Al estar estacionado, ¿Que debería hacer usted justo antes de poner su vehículo en movimiento?",Conducción responsable,,"Justo antes de poner su vehículo en movimiento tras estar estacionado, usted debería realizar las siguientes acciones de seguridad:
Mirar a su alrededor: Revisar frente a usted, hacia atrás y, sobre todo, por los espejos retrovisores.
Mirar sobre sus hombros: Esto es vital para cubrir los puntos ciegos que los espejos no logran mostrar.
Señalizar: Utilizar las luces de giro (señalizadores) para avisar a los demás usuarios de la vía su intención de incorporarse al tránsito.
Ceder el paso: Asegurarse de no forzar a otros conductores a frenar o cambiar de dirección bruscamente, ya que los vehículos que ya circulan por la vía tienen la preferencia.
",,4,3,Ajustar sus espejos,no,Seleccionar primera marcha,no,Mirar a su alrededor y chequear sus puntos ciegos.,si,Señalizar.,no,,,,
123,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Las fotografías muestran una secuencia cronológica de imágenes. ¿Cuales son las dos principales causas por las que surge esta situación de peligro? Marque dos respuestas.,Maniobra de adelantamiento,,,questions/p-123.png,4,"1, 2",Por adelantar en un lugar prohibido,si,Por mala visibilidad.,si,Porque el vehículo adelantado no anda suficientemente a la derecha.,no,Porque el conductor del auto que llega a la carretera por la izquierda ingresa a esta cuando no debió haberlo hecho.,no,,,,
124,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Usted llega a una intersección regulada por semáforo que se encuentra en rojo y, al mismo tiempo, un carabinero le indica que avance, ¿ Que hace usted?",Semáforos,,"Debe avanzar, ya que las órdenes de un carabinero prevalecen sobre las normas y señales del tránsito, incluyendo el semáforo.",,4,2,"Detenerse, porque la luz roja se lo esta indicando.",no,"Avanzar, porque las instrucciones del carabinero prevalecen sobre las señales del tránsito.",si,"Avanzar, solo si detrás suyo no vienen otros vehículos.",no,"Avanzar, solo si esta seguro que la luz roja esta próxima a cambiar.",no,,,,
125,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿En que situación puede usted hacer uso de la bocina de su vehículo?,Conducción responsable,,"Solo puede hacer uso de la bocina para prevenir un accidente y solo si su uso es estrictamente necesario para ello. Según la normativa de tránsito, está prohibido usarla para:
Saludar a otros conductores o peatones.
Apurar a alguien que está detenido frente a un semáforo.
Manifestar molestia o rabia.
En zonas rurales, también se permite su uso en curvas con visibilidad reducida para advertir de su presencia a vehículos que circulan en sentido contrario.",,4,3,Cuando cede a otro el derecho a vía.,no,Cuando saluda a otros usuarios de la vía,no,Cuando trata de prevenir a otros acerca de un peligro.,si,Cuando desea manifestar su disgusto.,no,,,,
126,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuando usted puede hacer sonar la bocina de su auto?,Conducción responsable,,"Solo puede hacer uso de la bocina para prevenir un accidente y solo si su uso es estrictamente necesario para ello. Según la normativa de tránsito, está prohibido usarla para:
Saludar a otros conductores o peatones.
Apurar a alguien que está detenido frente a un semáforo.
Manifestar molestia o rabia.
En zonas rurales, también se permite su uso en curvas con visibilidad reducida para advertir de su presencia a vehículos que circulan en sentido contrario.",,4,4,Para llamar la atención de un amigo.,no,Para que le cedan el paso.,no,Para apurar al vehículo que va más lento.,no,Para prevenir un accidente.,si,,,,
127,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted se va acercando a un cruce regulado por semáforo. ¿Cuando no de usted ingresar al cruce aunque el semáforo este en verde?,Semáforos,,"Usted no debe ingresar al cruce, aunque el semáforo esté en verde, cuando no tenga expedita su vía de circulación más allá de la intersección. Esto significa que si hay una congestión y su vehículo puede quedar detenido bloqueando el cruce, usted debe esperar tras la línea de detención hasta que haya espacio suficiente para cruzar por completo. Quedar atravesado en medio de la intersección impide el paso de los vehículos que circulan por la vía transversal cuando su semáforo cambie a verde.",,4,2,Cuando hay peatones esperando para cruzar.,no,Cuando pasado el cruce su pista no esté lo suficientemente despejada.,si,Cuando usted cree que la luz está próxima a cambiar.,no,Cuando usted va a virar a la derecha.,no,,,,
128,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Fuera de la cuidad, usted va por una carretera de doble calzada con dos pistas por sentido. La velocidad máxima permitida es de 100 km/h.  Si usted va a 90 km/h y no van vehículos delante suyo, ¿Por cuál pista circula usted?",Ubicación en pista,,"En esa situación, la regla general en Chile para carreteras de doble calzada (dos o más pistas por sentido) es que usted debería circular por la pista de la derecha. La pista de la izquierda debe ser utilizada principalmente para:
Adelantar a otros vehículos que circulan a una velocidad menor.
Sobrepasar cuando el flujo vehicular es muy denso.
Una vez que termine la maniobra de adelantamiento, debe retornar a la pista derecha tan pronto como sea seguro hacerlo.",,3,2,Por la pista izquierda.,no,Por la pista de la derecha.,si,Por cualquiera de las dos pistas.,no,,,,,,
129,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"En una carretera de doble calzada con dos pistas por sentido, ¿en cuáles dos de las siguientes situaciones usted usaría la pista izquierda?",Ubicación en pista,,"En una carretera de doble calzada con dos pistas por sentido, usted debería usar la pista izquierda principalmente en estas dos situaciones:
Para sobrepasar a otro vehículo: Cuando el vehículo que va por la pista derecha circula a una velocidad menor a la suya.
Para virar a la izquierda: En caso de que exista un retorno o una intersección que permita esta maniobra desde esa pista.
También se utiliza cuando el tránsito es muy denso y ambas pistas están ocupadas para mantener el flujo, pero la regla general es circular por la derecha y usar la izquierda solo para maniobras puntuales.

",,4,"1, 2",Cuando va a virar a la izquierda.,si,Al pasar a otro vehículo que va más lento.,si,Al circular normalmente.,no,Al conducir a una velocidad muy baja.,no,,,,
130,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,En qué situación retrocede usted con su vehículo en cruce?,Prioridad en cruces,," Usted debe retroceder en un cruce solo si un Carabinero se lo ordena. Por norma general, está estrictamente prohibido retroceder en las intersecciones, a menos que sea una indicación directa de la autoridad de tránsito o en casos de fuerza mayor muy específicos donde no exista ninguna otra alternativa para despejar la vía.                                                                                                                                                                                                                                                                                                                                            ",,4,4,Si no hay nadie detrás suyo.,no,En ningún momento,no,Sólo si ha quedado detenido sobre el paso de peatones.,no,Sólo se recibe indicación expresa de un carabinero.,si,,,,
131,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted se aproxima a un cruce de calles no señalizado. Por la otra calle también se aproxima un vehículo que pretende pasar el cruce. ¿Quién tiene la prioridad para pasar?,Prioridad en cruces,,"En un cruce no señalizado (sin semáforo, señal de Pare o Ceda el Paso), la preferencia la tiene el vehículo que se aproxima al cruce por la derecha del otro conductor. Por lo tanto:
Si el otro vehículo viene por tu derecha, él tiene la preferencia y tú debes esperar.
Si el otro vehículo viene por tu izquierda, tú tienes la preferencia de paso.
Esta regla se conoce como la Preferencia de Paso de la Derecha.

Excepciones a esta regla:Existen casos donde esta norma no aplica, como cuando un vehículo circula por una vía de mayor jerarquía (pavimentada frente a una de tierra) o cuando un vehículo intenta virar a la izquierda, perdiendo su preferencia frente a quien sigue derecho.",questions/p-131.png,4,3,El vehículo más grande.,no,El vehículo que vaya a mayor velocidad.,no,"El otro vehículo, siempre que él que se venga acercando al cruce por el lado derecho suyo.",si,"El otro vehículo, siempre que él se venga acercando al cruce por el lado izquierdo suyo?",no,,,,
132,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Cuando dos vehículos van a cruzarse en una intersección en la que no hay señalización alguna, ¿quien debe ceder el paso?",Prioridad en cruces,,"Debe ceder el paso el conductor del vehículo que tiene al otro por su derecha. En otras palabras, la preferencia la tiene siempre el vehículo que se aproxima a la intersección desde la derecha del otro conductor.",,4,3,El vehículo mas pequeño.,no,El vehículo que va por la calle de pistas mas angostas.,no,El que se cerca al cruce por la derecha del otro.,si,El que se acerca al cruce por la izquierda de otro.,no,,,,
133,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Es seguro permitir que lo niños viajen en un vehículo de 3 o 5 puertas en el espacio que queda detrás de los asientos traseros?,Niños y retención infantil,,"No, es extremadamente inseguro. Bajo ninguna circunstancia los niños deben viajar en el compartimiento de carga o maletero por las siguientes razones:
Falta de retención: Ese espacio no cuenta con asientos ni cinturones de seguridad, por lo que ante cualquier frenada o choque, el niño saldría proyectado.
Zona de impacto: En vehículos de 3 o 5 puertas, ese espacio es parte de la zona de deformación en caso de una colisión trasera.
Riesgo de asfixia o gases: Podría haber filtración de gases de escape o falta de ventilación adecuada.
La normativa vigente en Chile exige que los niños viajen siempre en los asientos traseros utilizando un sistema de retención infantil (silla) adecuado a su edad, peso y talla.",,4,1,"No, en ninguna circunstancia.",si,"Si, siempre que usted pueda ver sin problemas hacia atrás.",no,"Si, si son menores de 10 años.",no,"No, a menos que los demás asientos estén ocupados",no,,,,
134,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Que precaución debes tomar al transportar niños en los asientos traseros?,Niños y retención infantil,,"Al transportar niños en los asientos traseros, las precauciones principales son:
Uso de Sistema de Retención Infantil (SRI): Deben viajar siempre en una silla o alzador adecuado a su peso, talla y edad.
Activar el seguro de niños: Bloquear las puertas traseras para que no puedan abrirse desde el interior.
No dejarlos solos: Nunca dejar a un niño solo dentro del vehículo, especialmente bajo el sol.
Subir y bajar por la acera: Asegurarse de que siempre desciendan por el lado derecho (el lado de la vereda) para evitar el tráfico.
No llevar objetos sueltos: Evitar dejar juguetes pesados o botellas en la bandeja trasera, ya que en un frenazo podrían golpear a los niños.

¿Sabías que en Chile los niños deben viajar obligatoriamente en el asiento trasero hasta cumplir los 12 años?",,4,4,Compartir un mismo cinturón de seguridad.,no,Dejar la ventanas abajo por seguridad.,no,Desbloquear las puertas para evitar que queden atrapados.,no,Asegurarse que las puertas estén cerradas y activado bloqueo de apertura desde el interior.,si,,,,
135,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿cuál es la forma más segura para llevar a un niño de 3 a 4 años en su vehículo?,Protección de ocupantes,,"Al transportar niños en los asientos traseros, las precauciones principales son:
Uso de Sistema de Retención Infantil (SRI): Deben viajar siempre en una silla o alzador adecuado a su peso, talla y edad.
Activar el seguro de niños: Bloquear las puertas traseras para que no puedan abrirse desde el interior.
No dejarlos solos: Nunca dejar a un niño solo dentro del vehículo, especialmente bajo el sol.
Subir y bajar por la acera: Asegurarse de que siempre desciendan por el lado derecho (el lado de la vereda) para evitar el tráfico.
No llevar objetos sueltos: Evitar dejar juguetes pesados o botellas en la bandeja trasera, ya que en un frenazo podrían golpear a los niños.

¿Sabías que en Chile los niños deben viajar obligatoriamente en el asiento trasero hasta cumplir los 12 años?",,4,4,En la falda de un adulto compartiendo un mismo cinturón de seguridad.,no,En la falda de un adulto que va con su cinturón de seguridad.,no,"En cualquier asiento, siempre que lleve puesto el cinturón de seguridad para adultos.",no,"En el asiento trasero, en una silla de seguridad.",si,,,,
136,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,La forma más segura de viajar en un automóvil para un niño menor de dos años Es:,Protección de ocupantes,,"La forma más segura de viajar para un niño menor de dos años es en una silla de seguridad instalada mirando hacia atrás. Esta posición es fundamental porque:
Protege el cuello y la columna: En caso de una colisión frontal, la silla absorbe la energía y evita que la cabeza (que es muy pesada en relación al cuerpo del bebé) sea proyectada hacia adelante.
Reduce lesiones graves: Se estima que viajar mirando hacia atrás es hasta 5 veces más seguro que hacerlo mirando hacia adelante a esa edad.
",,4,4,En brazos de un adulto.,no,Solo en el asiento delantero y con cinturón de seguridad.,no,Solo en el asiento trasero y con cinturón de seguridad.,no,En un asiento de seguridad mirando hacia atrás.,si,,,,
137,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"En un vehículo de 3 o 5 puertas, ¿en qué condiciones sería seguro transportar niños pequeños en el espacio que queda detrás de los asientos traseros?",Niños y retención infantil,,"La forma más segura de viajar para un niño menor de dos años es en una silla de seguridad instalada mirando hacia atrás. Esta posición es fundamental porque:
Protege el cuello y la columna: En caso de una colisión frontal, la silla absorbe la energía y evita que la cabeza (que es muy pesada en relación al cuerpo del bebé) sea proyectada hacia adelante.
Reduce lesiones graves: Se estima que viajar mirando hacia atrás es hasta 5 veces más seguro que hacerlo mirando hacia adelante a esa edad.
",,4,3,Al efectuar un viaje corto.,no,Al circular por calles de poco transito.,no,Nunca.,si,siempre que sea seguro.,no,,,,
138,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Usted es esta en una calle de un solo sentido de tránsito y desea virar a la izquierda, ¿Cuál o cuáles de las siguientes afirmaciones es(son) correcta(S)?",Virajes,,,questions/p-138.png,4,"1, 3",Usted esta bien situado para virar a la izquierda.,si,Si después de virar a la izquierda usted volverá a virar a la izquierda en el siguiente cruce. lo mejor es que se mantenga a la izquierda.,no,"Usted nunca puede saber si la calle hacia la cual vira tiene un solo sentido de tránsito o dos. por eso, siempre debe tomar la pista derecha de la calle hacia la cual vira.",si,No es necesario que usted señalice.,no,,,,
139,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿En cuál o cuáles de las siguientes situaciones puede usted virar a la izquierda sin que siempre de detenerse antes? Marque la(las) correctas.,Virajes,,"Puedes virar a la izquierda sin detenerte siempre que las condiciones de seguridad y la señalización lo permitan. Las situaciones principales son:
Semáforo en verde: Si el semáforo te otorga la pasada y no vienen vehículos en sentido contrario (o tienes flecha verde de viraje), puedes doblar sin detenerte.
Señal de ""Ceda el Paso"": A diferencia de un ""Pare"", solo debes detenerte si viene un vehículo por la vía preferencial. Si la vía está despejada, puedes virar manteniendo la marcha.
Intersección sin señalizar con preferencia: Si te aproximas a un cruce donde no hay señales y tú vienes por la derecha del otro vehículo, tienes la preferencia.

Nota importante: Recuerda que siempre debes señalizar al menos 30 metros antes de realizar la maniobra.",questions/p-139.png,4,"1, 2, 4",a,si,B,si,cc,no,d,si,,,,
140,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Frente a cuál o cuáles de las siguientes señales e indicaciones del semáforo debe usted detenerse siempre?,Semáforos,,,questions/p-140.png,4,"2, 4",a,no,B,si,c,no,d,si,,,,
141,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Usted va por una calle de doble sentido de tránsito. Para virar a la izquierda, ¿Donde debería ubicarse?",Virajes,,"En una calle de doble sentido de tránsito, para virar a la izquierda usted debe ubicarse lo más cerca posible del eje de la calzada (la línea que divide los sentidos de tránsito), sin invadir la pista del sentido contrario. Los pasos correctos para realizar la maniobra son:
Señalizar: Avisar con las luces de giro al menos 30 metros antes.
Posicionamiento: Acercarse al eje central para permitir que los vehículos que siguen derecho puedan pasarlo por la derecha.
Ceder el paso: Antes de virar, debe ceder el paso a los vehículos que vienen en sentido contrario por la pista que va a cruzar.
",,3,3,Lo más a la derecha posible.,no,Justo a la izquierda de la línea de centro de calzada.,no,Justo a la derecha de la línea de centro de calzada.,si,,,,,,
142,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted va detrás de un camión articulado que va a virar a la derecha hacia una vía angosta. ¿ Que debe hacer usted?,Virajes,,"En esta situación, lo más importante es mantenerse detrás del camión y esperar a que complete su maniobra por completo.
No intentes pasarlo por la derecha: Los camiones articulados necesitan mucho espacio y suelen ""abrirse"" hacia la izquierda antes de doblar a la derecha para no subir las ruedas traseras a la cuneta.
Cuidado con el espacio engañoso: Aunque veas un espacio a la derecha cuando el camión se abre, no entres ahí; quedarías atrapado cuando el camión cierre su giro.
Puntos ciegos: Mantén una distancia suficiente para que el conductor del camión pueda verte a través de sus espejos retrovisores.
",questions/p-142.png,4,4,Desplazarse rápidamente hacia la pista adyacente y sobrepasarlo.,no,Tocar la bocina para advertir su presencia.,no,Sobrepasarlo por la derecha mientras él se desplaza hacia la izquierda.,no,Mantenerse detrás de él hasta que finalice su maniobra.,si,,,,
143,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Como señaliza usted con el brazo cuando va a virar hacia la derecha?,Señalización manual,,"Para señalizar un viraje hacia la derecha con el brazo, usted debe:
Sacar el brazo izquierdo por la ventana.
Ponerlo en ángulo recto (hacia arriba), con la palma de la mano hacia adelante.

Otras señales manuales importantes:
Viraje a la izquierda: Brazo extendido horizontalmente.
Disminuir la velocidad o detenerse: Brazo extendido hacia abajo.
",questions/p-143.png,3,2,a,no,B,si,c,no,,,,,,
144,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,¿Cuál señalización con el brazo del conductor de un vehículo que va adelante le indica que va a virar a la izquierda?,Señalización manual,,"La señalización con el brazo que indica un viraje a la izquierda es el brazo extendido horizontalmente. Esta señal se realiza sacando el brazo izquierdo por la ventana del conductor de forma recta hacia afuera.

Resumen de señales manuales:
Viraje a la izquierda: Brazo extendido horizontalmente.
Viraje a la derecha: Brazo en ángulo recto hacia arriba.
Disminución de velocidad o detención: Brazo extendido hacia abajo.
",questions/p-144.png,3,3,a,no,B,no,c,si,,,,,,
145,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted ha alcanzado un auto que desea adelantar. ¿Cuáles son la tres cosas más difíciles de juzgar? Marque tres.,Maniobra de adelantamiento,,"Al intentar realizar un adelantamiento, las tres cosas más difíciles de juzgar para el ojo humano son:
La distancia del vehículo que viene en sentido contrario.
La velocidad del vehículo que viene en sentido contrario.
El punto de encuentro con el vehículo que viene en sentido contrario (cuánto tiempo tardarán en cruzarse).
Debido a que el cerebro suele subestimar la velocidad de los objetos que se acercan de frente y sobreestimar su distancia, siempre se recomienda realizar esta maniobra con un margen de seguridad amplio.",,5,"3, 4, 5",La velocidad del auto al que desea adelantar.,no,Si es suficientemente ancho el espacio a la izquierda del vehículo que va adelante.,no,La distancia al vehículo que viene en sentido contrario.,si,La longitud de la distancia de adelantamiento.,si,El punto de encuentro con el vehículo que viene en contra.,si,,
146,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted va conduciendo su vehículo a 90 km/h que es la velocidad máxima permitida en esa vía. ¿Que hace usted si a pesar de todo un vehículo desea adelantarlo? Marque dos respuestas.,Maniobra de adelantamiento,,"Si un vehículo intenta adelantarte a pesar de que ya vas a la velocidad máxima, lo que debes hacer es:
Mantener tu velocidad o disminuirla levemente para facilitar que el otro conductor complete la maniobra de forma segura.
Mantenerte lo más a la derecha posible de la calzada.
No aumentar la velocidad, ya que esto haría la maniobra de adelantamiento mucho más larga y peligrosa para ambos.
Tu prioridad debe ser siempre la seguridad vial, independientemente de que el otro conductor esté cometiendo una infracción al exceder el límite de velocidad.",questions/p-146.png,4,"1, 4",Conduce lo más a la derecha posible.,si,Se desplaza hacia la berma y circula por ella.,no,Enciende sus luces de advertencia de peligro.,no,No acelera.,si,,,,
147,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted va por una carretera a 100 Km/h. ¿Que hace usted si a pesar de todo un vehículo que viene atrás desea adelantarlo?,Maniobra de adelantamiento,,"Si un vehículo intenta adelantarte a pesar de que ya vas a la velocidad máxima, lo que debes hacer es:
Mantener tu velocidad o disminuirla levemente para facilitar que el otro conductor complete la maniobra de forma segura.
Mantenerte lo más a la derecha posible de la calzada.
No aumentar la velocidad, ya que esto haría la maniobra de adelantamiento mucho más larga y peligrosa para ambos.
Tu prioridad debe ser siempre la seguridad vial, independientemente de que el otro conductor esté cometiendo una infracción al exceder el límite de velocidad.",,5,"2, 3",Acelera para impedir el adelantamiento.,no,Se mantiene lo más a la derecha posible.,si,Mantiene o disminuye la velocidad.,si,Enciende su intermitente izquierdo en señal de advertencia de que viene un vehículo en contra.,no,"Se acerca lo más posible a la línea de centro de calzada, para impedir el adelantamiento.",no,,
148,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,Usted desea adelantar. ¿ Cuál o cuáles de las siguientes afirmaciones es(son) verdadera(S)?,Maniobra de adelantamiento,,,questions/p-148.png,4,4,El camión tiene la obligación de correrse hacia la berma para dejarle a usted mas espacio.,no,El auto que viene en sentido contrario tiene la obligación de correrse a la berma para aumentar la seguridad.,no,El camión esta obligado a reducir la velocidad.,no,Usted tiene la obligación de esperar a que la pista del sentido contrario esté libre de vehículos para luego adelantar.,si,,,,
149,LIBRO PARA LA CONDUCCIÓN EN CHILE(CONASET),1,si,"Usted a comenzado a adelantar. El auto de la derecha va a aproximadamente a 80 km/h. por su espejo retrovisor usted ve otro auto que tiene intensión de adelantar. ¿Que hace usted? Marque la(S) correcta(S),",Espejos y puntos ciegos,,"Si ya has comenzado el adelantamiento y notas por el espejo retrovisor que otro auto tiene la intención de adelantarte a ti también (o viene muy rápido), lo que debes hacer es:
Desistir de la maniobra si aún no has invadido completamente la otra pista y es seguro volver a tu carril.
Si ya estás en la pista de adelantamiento, completa la maniobra lo más rápido y seguro posible, sin exceder los límites de velocidad, y regresa a la pista derecha en cuanto tengas la distancia suficiente.
No aumentar la velocidad de forma competitiva ni intentar bloquear al vehículo que viene atrás.
El objetivo es despejar la pista izquierda lo antes posible para no generar una situación de riesgo con el vehículo que viene detrás de ti.",questions/p-149.png,4,1,Frena ligeramente y vuelve a la pista.,si,"Acelera y adelanta, porque el auto que usted adelanta tiene la obligación de reducir la velocidad.",no,Acelera y adelanta tan rápido como pueda.,no,"Acelera y adelanta, ya que el ancho de la calzada es suficiente para 3 vehículos si el que viene en contra se corre bien a su derecha.",no,,,,
